序號,避難收容處所名稱,縣市及鄉鎮市區,村里,避難收容處所地址,經度,緯度,預計收容人數,室內,室外,最近AQI站點,最近AQI站點經度,最近AQI站點緯度,距離(km),最近AQI值,風險等級
302,澳洲特區,高雄市大寮區,內坑里,仁德路16巷31弄12號,120.396834,22.591949,100,否,否,高雄站,120.31,22.62,9.44,105,High Risk
303,荷蘭町,高雄市大寮區,內坑里,仁德路10號之1,120.399701,22.591993,200,否,否,高雄站,120.31,22.62,9.72,105,High Risk
305,高雄市政府社會局無障礙之家,高雄市前鎮區,,翠亨北路392號,120.3153,22.5941,3,是,否,高雄站,120.31,22.62,2.93,105,High Risk
306,高雄市鳳山區南成國民小學,高雄市鳳山區,南成里,南和街101號,120.335487,22.594316,1484,是,否,高雄站,120.31,22.62,3.87,105,High Risk
307,龍成宮,高雄市鳳山區,鎮南里,五甲二路730巷6號,120.3283,22.5945,100,是,否,高雄站,120.31,22.62,3.4,105,High Risk
308,米蘭特區,高雄市大寮區,內坑里,內坑路108-67號,120.388157,22.594653,80,否,否,高雄站,120.31,22.62,8.5,105,High Risk
313,高雄市鳳山區鳳翔國民小學,高雄市鳳山區,二甲里,鳳育路63號,120.340798,22.595332,3106,是,否,高雄站,120.31,22.62,4.19,105,High Risk
314,高雄市立鳳翔國民中學,高雄市鳳山區,保安里,保義街100號,120.348197,22.59641,385,否,否,高雄站,120.31,22.62,4.72,105,High Risk
317,高雄市鳳山區福誠國民小學,高雄市鳳山區,福誠里,忠誠路145號,120.325055,22.596813,1267,是,否,高雄站,120.31,22.62,3.01,105,High Risk
318,高雄市立五甲國民中學,高雄市鳳山區,龍成里,龍成路111號,120.328691,22.598112,1178,是,否,高雄站,120.31,22.62,3.1,105,High Risk
319,高雄市鳳山區中崙國民小學,高雄市鳳山區,中崙里,中崙四路25號,120.350798,22.599431,3054,否,否,高雄站,120.31,22.62,4.77,105,High Risk
320,大發公有市場3樓,高雄市大寮區,會社里,鳳林三路315之22號,120.397972,22.600592,120,否,否,高雄站,120.31,22.62,9.28,105,High Risk
321,高雄市前鎮區瑞祥國民小學,高雄市前鎮區,瑞祥里,班超路20號,120.326798,22.600692,1636,否,否,高雄站,120.31,22.62,2.75,105,High Risk
322,高雄市旗津區中洲國民小學,高雄市旗津區,上竹里,旗津三路275號,120.2764,22.6008,600,是,否,高雄站,120.31,22.62,4.06,105,High Risk
323,高雄市立瑞祥高級中學,高雄市前鎮區,瑞南里,班超路63號,120.324758,22.602208,1000,否,否,高雄站,120.31,22.62,2.49,105,High Risk
324,高雄市立大寮幼兒園,高雄市大寮區,上寮里,上寮路208之25號,120.422136,22.602808,150,否,否,高雄站,120.31,22.62,11.67,105,High Risk
325,高雄市立大寮國民中學,高雄市大寮區,永芳里,進學路150號,120.39266,22.602926,150,否,否,高雄站,120.31,22.62,8.69,105,High Risk
326,高雄市立中崙國民中學,高雄市鳳山區,中榮里,中崙二路487號,120.353555,22.603304,469,是,否,高雄站,120.31,22.62,4.84,105,High Risk
327,三隆里社區活動中心,高雄市大寮區,三隆里,正隆街45號,120.406342,22.60349,40,否,否,高雄站,120.31,22.62,10.06,105,High Risk
328,高雄市鳳山區正義國民小學,高雄市鳳山區,正義里,南昌街55號,120.340127,22.603997,1025,是,否,高雄站,120.31,22.62,3.57,105,High Risk
331,高雄市立獅甲國民中學,高雄市前鎮區,建隆里,中山三路43號,120.3083,22.6051,1200,是,否,高雄站,120.31,22.62,1.67,105,High Risk
333,高雄市大寮區永芳國民小學,高雄市大寮區,永芳里,鳳林三路499號,120.395195,22.605277,600,否,否,高雄站,120.31,22.62,8.9,105,High Risk
334,高雄市前鎮區瑞豐國民小學,高雄市前鎮區,瑞華里,瑞隆路100號,120.337,22.6061,1781,是,否,高雄站,120.31,22.62,3.17,105,High Risk
335,金湯營區,高雄市鳳山區,,凱旋路1號,120.3623,22.6077,400,是,否,高雄站,120.31,22.62,5.54,105,High Risk
336,中正營區,高雄市鳳山區,,凱旋路1號,120.3623,22.6077,500,是,否,高雄站,120.31,22.62,5.54,105,High Risk
337,高雄市大寮區山頂國民小學,高雄市大寮區,山頂里,山頂路211號,120.388806,22.607807,200,否,否,高雄站,120.31,22.62,8.2,105,High Risk
338,高雄市前鎮區復興國民小學,高雄市前鎮區,西山里,民權二路331號,120.311425,22.608203,800,否,否,高雄站,120.31,22.62,1.32,105,High Risk
339,高雄市前鎮區樂群國民小學,高雄市前鎮區,竹內里,育樂路61號,120.322489,22.608234,300,是,否,高雄站,120.31,22.62,1.83,105,High Risk
340,山頂里社區活動中心,高雄市大寮區,山頂里,山頂路178號,120.388518,22.608247,250,否,否,高雄站,120.31,22.62,8.16,105,High Risk
341,高雄市前鎮區民權國民小學,高雄市前鎮區,民權里,沱江街200號,120.314444,22.608482,1568,否,否,高雄站,120.31,22.62,1.36,105,High Risk
342,高雄市旗津區旗津國民小學,高雄市旗津區,慈愛里,中洲三路623號,120.2715,22.609,120,是,否,高雄站,120.31,22.62,4.14,105,High Risk
343,高雄市竹西里活動中心,高雄市前鎮區,竹西里,廣東三街73號3樓,120.3198654,22.60930404,100,是,否,高雄站,120.31,22.62,1.56,105,High Risk
345,高雄市立中正高級工業職業學校,高雄市前鎮區,竹西里,光華二路80號,120.317629,22.610595,1000,是,否,高雄站,120.31,22.62,1.31,105,High Risk
346,高雄市立光華國民中學,高雄市前鎮區,竹東里,和平二路170號,120.322944,22.61083,600,否,否,高雄站,120.31,22.62,1.67,105,High Risk
348,高雄市立瑞豐國民中學,高雄市前鎮區,瑞文里,瑞興街99號,120.331091,22.611085,200,否,否,高雄站,120.31,22.62,2.38,105,High Risk
351,高雄市鳳山區新甲國民小學,高雄市鳳山區,新甲里,新富路255號,120.339923,22.613771,2199,是,否,高雄站,120.31,22.62,3.15,105,High Risk
